text,sentiment,cleaned_tokenization,cleaned_stopwords,cleaned_stemming,cleaned_lemmatization,cleaned_stemming_plus,cleaned_lemmatization_misspell
How unhappy  some dogs like it though,negative,how unhappy some dogs like it though,unhappy dogs like though,unhappi dog like though,unhappy dog like though,unhappi dog like though,unhappy dog like though
talking to my over driver about where I'm goinghe said he'd love to go to New York too but since Trump it's probably not,negative,talking to my over driver about where im goinghe said hed love to go to new york too but since trump its probably not,talking driver im goinghe said hed love go new york since trump probably,talk driver im goingh said hed love go new york sinc trump probabl,talking driver im goinghe said hed love go new york since trump probably,talk driver im goingh said hed love go new york sinc trump probabl,talking driver im goinghe said hed love go new york since trump probably
Does anybody know if the Rand's likely to fall against the dollar? I got some money  I need to change into R but it keeps getting stronger unhappy ,negative,does anybody know if the rands likely to fall against the dollar got some money need to change into but it keeps getting stronger unhappy,anybody know rands likely fall dollar got money need change keeps getting stronger unhappy,anybodi know rand like fall dollar got money need chang keep get stronger unhappi,anybody know rand likely fall dollar got money need change keep getting stronger unhappy,anybodi know rand like fall dollar got money need chang keep get stronger unhappi,anybody know rand likely fall dollar got money need change keep getting stronger unhappy
I miss going to gigs in Liverpool unhappy ,negative,miss going to gigs in liverpool unhappy,miss going gigs liverpool unhappy,miss go gig liverpool unhappi,miss going gig liverpool unhappy,miss go gig liverpool unhappi,miss going gig liverpool unhappy
There isnt a new Riverdale tonight ? unhappy ,negative,there isnt new riverdale tonight unhappy,isnt new riverdale tonight unhappy,isnt new riverdal tonight unhappi,isnt new riverdale tonight unhappy,isnt new riverdal tonight unhappi,isnt new riverdale tonight unhappy
it's that A*dy guy from pop Asia and then the translator so they'll probs go with them around Aus unhappy ,negative,its that ady guy from pop asia and then the translator so theyll probs go with them around aus unhappy,ady guy pop asia translator theyll probs go around aus unhappy,adi guy pop asia translat theyll prob go around au unhappi,ady guy pop asia translator theyll probs go around au unhappy,adi guy pop asia translat theyll prob go around au unhappi,ady guy pop asia translator theyll probs go around au unhappy
Who's that chair you're sitting in? Is this how I find out. Everyone knows now. You've shamed me in pu,negative,whos that chair youre sitting in is this how find out everyone knows now youve shamed me in pu,whos chair youre sitting find everyone knows youve shamed pu,who chair your sit find everyon know youv shame pu,who chair youre sitting find everyone know youve shamed pu,who chair your sit find everyon know youv shame pu,who chair youre sitting find everyone know youve shamed pu
don't like how jittery caffeine makes me sad ,negative,dont like how jittery caffeine makes me sad,dont like jittery caffeine makes sad,dont like jitteri caffein make sad,dont like jittery caffeine make sad,dont like jitteri caffein make sad,dont like jittery caffeine make sad
My area's not on the list unhappy  think I'll go LibDems anyway,negative,my areas not on the list unhappy think ill go libdems anyway,areas list unhappy think ill go libdems anyway,area list unhappi think ill go libdem anyway,area list unhappy think ill go libdems anyway,area list unhappi think ill go libdem anyway,area list unhappy think ill go libdems anyway
I want fun plans this weekend unhappy ,negative,want fun plans this weekend unhappy,want fun plans weekend unhappy,want fun plan weekend unhappi,want fun plan weekend unhappy,want fun plan weekend unhappi,want fun plan weekend unhappy
When can you notice me.  unhappy  what?  ,negative,when can you notice me unhappy what,notice unhappy,notic unhappi,notice unhappy,notic unhappi,notice unhappy
Ahhhhh! You recognized LOGAN!!! Cinemax shows have a BAD track record for getting cancelled unhappy ,negative,ahhhhh you recognized logan cinemax shows have bad track record for getting cancelled unhappy,ahhhhh recognized logan cinemax shows bad track record getting cancelled unhappy,ahhhhh recogn logan cinemax show bad track record get cancel unhappi,ahhhhh recognized logan cinemax show bad track record getting cancelled unhappy,ahh recogn logan cinemax show bad track record get cancel unhappi,ahh recognized logan cinemax show bad track record getting cancelled unhappy
